singleton_280	1	Multi_Drug_Res
singleton_281	1	Trypsin
singleton_282	1	Acetyltransf_1
singleton_283	1	AAA_18
singleton_284	1	Multi_Drug_Res
singleton_285	1	Multi_Drug_Res
singleton_286	1	Adenyl_transf
singleton_287	1	Exo_endo_phos
singleton_288	1	Beta-lactamase2
singleton_289	1	Lactamase_B
singleton_29	1	2-Hacid_dh
singleton_290	1	Lactamase_B
singleton_291	1	HlyD
singleton_292	1	Lactamase_B
singleton_293	1	Transpeptidase
singleton_294	1	MFS_1
singleton_295	0	none
singleton_296	1	Lactamase_B
singleton_297	1	Lactamase_B
singleton_298	1	MFS_1
singleton_299	1	APH
singleton_3	1	Beta-lactamase2
singleton_30	1	Peptidase_M15
singleton_300	1	Acetyltransf_1
singleton_301	1	DHFR_1
singleton_302	1	Beta-lactamase2
singleton_303	1	EF-G-binding_N
singleton_304	1	HlyD_D23
singleton_305	1	Hexapep
singleton_306	1	DUF4111
singleton_307	1	DHFR_1
singleton_308	1	Lactamase_B
singleton_309	1	Acetyltransf_8
singleton_31	0	none
singleton_310	1	Beta-lactamase
singleton_311	1	DHFR_1
singleton_312	1	Radical_SAM
singleton_313	1	Lactamase_B
singleton_314	1	Adenyl_transf
singleton_315	1	Peptidase_M29
singleton_316	1	Beta-lactamase
singleton_317	0	none
singleton_318	1	Transpeptidase
singleton_319	2	Pentapeptide_4
singleton_32	1	MFS_1
singleton_320	1	Response_reg
singleton_321	1	Pentapeptide_4
singleton_322	1	MFS_1
singleton_323	1	Glyoxalase
singleton_324	1	Transpeptidase
singleton_325	1	DHFR_1
singleton_326	1	Transpeptidase
singleton_327	1	Transpeptidase
singleton_328	1	Transpeptidase
singleton_329	1	Transpeptidase
singleton_33	1	FAD_binding_3
singleton_330	1	ABC_tran_Xtn
singleton_331	1	ABC_membrane
singleton_332	1	Pentapeptide_4
singleton_333	1	Response_reg
singleton_334	1	FmrO
singleton_335	1	ABC_trans_N
singleton_34	1	HlyD
singleton_35	2	OEP
singleton_36	1	APH
singleton_37	1	RrnaAD
singleton_38	1	Biotin_lipoyl_2
singleton_39	1	Arr-ms
singleton_4	1	Hexapep
singleton_40	1	RrnaAD
singleton_41	1	RrnaAD
singleton_42	1	RrnaAD
singleton_43	1	Acetyltransf_1
singleton_44	1	Na_H_Exchanger
singleton_45	1	MFS_1
singleton_46	1	Aminoglyc_resit
singleton_47	1	RrnaAD
singleton_48	1	Response_reg
singleton_49	1	MFS_1
singleton_5	1	CAT
singleton_50	1	UDPG_MGDP_dh
singleton_51	1	Glycos_transf_2
singleton_52	1	HATPase_c
singleton_53	1	MarR
singleton_54	1	BacA
singleton_55	1	DHFR_1
singleton_56	1	Acetyltransf_1
singleton_57	1	Acetyltransf_1
singleton_58	2	MFS_1
singleton_59	1	MFS_1
singleton_6	0	none
singleton_60	1	Transpeptidase
singleton_61	1	HlyD_D23
singleton_62	1	Lactamase_B
singleton_63	1	Peptidase_M15
singleton_64	1	VanZ
singleton_65	1	Biotin_lipoyl_2
singleton_66	1	HlyD
singleton_67	1	Response_reg
singleton_68	1	Lactamase_B
singleton_69	1	Lip_A_acyltrans
singleton_7	1	Dala_Dala_lig_C
singleton_70	1	Glyoxalase
singleton_71	2	OEP
singleton_72	1	Epimerase
singleton_73	0	none
singleton_74	1	DoxX
singleton_75	1	Multi_Drug_Res
singleton_76	1	APH
singleton_77	1	Lactamase_B
singleton_78	1	HycH
singleton_79	1	Na_H_antiporter
singleton_8	1	Antibiotic_NAT
singleton_80	1	Beta-lactamase2
singleton_81	1	Hexapep
singleton_82	1	UPF0020
singleton_83	1	HlyD_D23
singleton_84	1	Autoind_bind
singleton_85	1	Response_reg
singleton_86	1	Hexapep
singleton_87	1	Acetyltransf_1
singleton_88	1	2-Hacid_dh
singleton_89	1	Peptidase_M15
singleton_9	1	CAT
singleton_90	0	none
singleton_91	0	none
singleton_92	1	Acetyltransf_8
singleton_93	1	Beta-lactamase2
singleton_94	1	DHFR_1
singleton_95	1	DNA_gyraseB
singleton_96	0	none
singleton_97	1	Lactamase_B
singleton_98	1	Transpeptidase
singleton_99	1	Beta-lactamase2
